Date,Forecast
2020-02-27,28150.81569012041
2020-02-28,15279.5066322375
2020-02-29,32651.957094779376
2020-03-01,31412.095390436603
2020-03-02,31406.372442780284
2020-03-03,20746.802534057395
2020-03-04,15986.939623517708
2020-03-05,13892.326494136814
2020-03-06,85.80945514386224
2020-03-07,45480.80243030639
2020-03-08,21340.122734054705
2020-03-09,29833.259086063877
2020-03-10,13473.570700828172
2020-03-11,-1310.7111610180802
2020-03-12,22259.74370523524
2020-03-13,40719.81701178784
2020-03-14,49779.35938273687
2020-03-15,13180.276195274155
2020-03-16,2500.458571238891
2020-03-17,-55.54840766125562
2020-03-18,-16357.901561513816
2020-03-19,61480.0563950578
2020-03-20,38695.72468771504
2020-03-21,56043.965296156035
